,logFC,AveExpr,t,P.Value,adj.P.Val,B
BASP1,-3.00436889750016,6.91661923056917,-15.4218479268147,4.3760331748508e-15,7.48560413120743e-11,24.3364666529936
TCHH,-3.85508947073992,2.76053454861826,-15.0668393339094,7.78736450580747e-15,7.48560413120743e-11,23.7882817353721
SIGLEC1,-3.51571186460227,7.66403325674767,-14.1314644066487,3.74850674115508e-14,2.05994337055584e-10,22.2854384894145
TMEM132E,-3.7561231168312,4.11541940460491,-13.9905140657482,4.78306621133503e-14,2.05994337055584e-10,22.05133691932
FOLR2,-3.46478121607769,7.46320880536411,-13.7496781636262,7.285486824219e-14,2.05994337055584e-10,21.6465413214712
CD163,-4.24893148985212,9.71948995576903,-13.7011534892797,7.93547895657652e-14,2.05994337055584e-10,21.5642405035919
AXL,-2.96568841880624,8.26805099568062,-13.5144703150839,1.10481119205102e-13,2.05994337055584e-10,21.2452683554364
FNBP1,-2.32783059912026,8.6025605445065,-13.4738099787898,1.18791883947549e-13,2.05994337055584e-10,21.1752974577263
ETV5,-2.82912863621775,6.50407784322546,-13.4240444278611,1.29848152145068e-13,2.05994337055584e-10,21.0894137673762
KLHL11,-4.13608046173073,2.98900653337379,-13.3791021216203,1.40744276121254e-13,2.05994337055584e-10,21.0116223016749
MPEG1,-3.10141972231211,8.95257776149992,-13.3679745600504,1.435849342648e-13,2.05994337055584e-10,20.9923273623116
LILRB5,-3.37791628254274,6.98286318545895,-13.3350914918047,1.52329851026503e-13,2.05994337055584e-10,20.935229731953
LCP2,-2.53445760079486,7.27194445975374,-13.3265001427605,1.5470386184058e-13,2.05994337055584e-10,20.9202923407203
CFP,-2.92904652296117,8.62455689016387,-13.3146766343459,1.58033525221721e-13,2.05994337055584e-10,20.8997221043888
P2RY13,-3.44693297300162,5.80546424123274,-13.2910348220063,1.64914774655598e-13,2.05994337055584e-10,20.8585446580945
CFD,-5.52660038278034,5.58580940909143,-13.268425005036,1.71784794125558e-13,2.05994337055584e-10,20.819107166367
CPVL,-2.73736091988708,8.39503418820616,-13.217891049307,1.88227076205031e-13,2.05994337055584e-10,20.7307588753236
GFRA2,-3.50175964443176,5.05759887123176,-13.2044477734973,1.92868560052042e-13,2.05994337055584e-10,20.7072085448039
CMKLR1,-2.3850160011682,6.84658925819152,-13.169023302173,2.05672965507516e-13,2.08108566414842e-10,20.6450550267153
SLC7A8,-3.2203197298813,7.1046466066346,-13.0243433554766,2.67772839400249e-13,2.5739664187349e-10,20.3897584272036
SDC3,-2.72780550476124,9.49252574996006,-12.9775449636642,2.91763659210671e-13,2.67102683253578e-10,20.3066781132414
POMK,-4.29359645648999,2.77222757622174,-12.8907254693872,3.42313592704623e-13,2.99135400897563e-10,20.1518949492445
CR1,-4.74917267078982,4.69002307850412,-12.8018157595766,4.03497114811386e-13,3.37270957923865e-10,19.9924993056544
EPB41L3,-3.06435365287321,6.3385517833889,-12.7384547003532,4.53893681812943e-13,3.63587751368909e-10,19.8783563502362
VCAM1,-4.07226652706404,8.16110889229227,-12.59932832501,5.88617955198189e-13,4.52647207547407e-10,19.6261054600553
SPIC,-3.57847022557865,3.21927225797522,-12.4031203542255,8.52216044156652e-13,6.30148209573524e-10,19.2665402610764
LPCAT2,-2.41522162664748,5.71531440629423,-12.376067568529,8.97119403789004e-13,6.38782242142356e-10,19.2166103304989
CSF1R,-3.49649767503031,9.17724409085724,-12.3218069141352,9.94679525721032e-13,6.82954067213816e-10,19.1162040565135
CSF3R,-2.49633831107501,5.79797070053032,-12.2616201721746,1.11577218929467e-12,7.13537188483154e-10,19.0044242917023
NRP2,-2.88170424647684,7.68468992122184,-12.260672155899,1.11779657570707e-12,7.13537188483154e-10,19.0026601818372
INPP5D,-2.36880261479603,7.02613936057476,-12.2455670732215,1.15056711797024e-12,7.13537188483154e-10,18.9745375725576
C1QC,-3.37902996746274,10.384882190427,-12.155070782961,1.36874803643753e-12,8.22318156265987e-10,18.8054821998898
CYBB,-3.11891698999509,8.59187749743919,-12.1132671625294,1.48351303000919e-12,8.47458918593464e-10,18.7270584041922
MARCO,-3.90597087529097,9.55458439104633,-12.1008158215096,1.519577630609e-12,8.47458918593464e-10,18.7036590822341
MOB3A,-1.99558932366513,7.48699667261989,-12.0928529720884,1.543113777682e-12,8.47458918593464e-10,18.688685037563
C1QB,-3.2401792562724,10.2574023259297,-12.0609025303944,1.64139064120212e-12,8.47458918593464e-10,18.6285258607481
TXNDC5,-4.89110906362709,3.61773470807151,-12.0559995554629,1.65703268373361e-12,8.47458918593464e-10,18.6192832108884
SCIMP,-2.64313050706696,6.50003568146719,-12.0504011078955,1.67508134754495e-12,8.47458918593464e-10,18.6087259727077
CD84,-2.52287825805997,6.66900949821303,-11.9690276211177,1.96151701712113e-12,9.66927298824453e-10,18.4548486953435
CCR1,-2.90897487024816,6.23412319596275,-11.9331044511866,2.10358143997071e-12,9.68270999006142e-10,18.386662580327
PRLR,-2.54508915749794,8.20703289911695,-11.9330309242643,2.1038828335297e-12,9.68270999006142e-10,18.386522857307
STAB1,-2.97124997802604,9.68756923581065,-11.920630033037,2.1553567508116e-12,9.68270999006142e-10,18.3629480633854
