sample	group
GSM3615293	disease
GSM3615294	disease
GSM3615295	disease
GSM3615296	disease
GSM3615297	disease
GSM3615298	disease
GSM3615299	disease
GSM3615300	disease
GSM3615301	disease
GSM3615302	disease
GSM3615303	disease
GSM3615304	disease
GSM3615305	disease
GSM3615306	disease
GSM3615307	disease
GSM3615324	normal
GSM3615325	normal
GSM3615326	normal
GSM3615327	normal
GSM3615328	normal
GSM3615329	normal
GSM3615330	normal
GSM3615331	normal
GSM3615332	normal
GSM3615333	normal
GSM3615334	normal
GSM3615335	normal
GSM3615336	normal
GSM3615337	normal
