,GSM3615324,GSM3615325,GSM3615326,GSM3615327,GSM3615328,GSM3615329,GSM3615330,GSM3615331,GSM3615332,GSM3615333,GSM3615334,GSM3615335,GSM3615336,GSM3615337,GSM3615293,GSM3615294,GSM3615295,GSM3615296,GSM3615297,GSM3615298,GSM3615299,GSM3615300,GSM3615301,GSM3615302,GSM3615303,GSM3615304,GSM3615305,GSM3615306,GSM3615307
ATF6,1760,1122,1581,1689,1241,1059,980,940,1462,1492,1085,1469,1435,622,412,358,412,481,579,636,537,629,956,274,540,202,627,660,212
ATF6B,848,1015,801,1244,614,571,668,479,1366,857,710,639,526,279,302,194,286,369,445,322,459,267,191,177,245,71,365,378,196
BCL2L11,342,244,575,318,300,125,270,117,329,322,227,186,189,172,94,87,102,145,202,128,149,136,230,47,90,31,189,187,90
BFAR,1180,678,727,1072,662,630,670,528,1169,1106,678,866,683,279,407,248,369,391,490,518,351,481,490,225,302,154,411,408,186
BOK,6110,3990,2889,6066,3498,3380,4099,2600,9181,3789,3541,3506,3959,1630,1390,809,3403,2706,2132,2309,2050,1124,490,733,2933,580,2392,1906,773
DAB2IP,910,530,629,885,504,472,598,226,847,607,598,498,360,245,151,131,269,381,535,264,236,203,150,96,308,137,313,282,103
EIF2S1,1101,608,786,1161,475,536,624,445,1044,829,580,814,818,339,278,298,338,410,524,500,454,428,576,148,267,173,417,435,193
ERN1,1025,804,829,1161,834,649,516,298,928,760,618,442,543,296,79,81,82,119,194,153,166,135,254,106,189,65,224,290,65
MBTPS1,3365,2041,1939,2477,1360,1567,1691,1102,2938,2434,1999,1661,1736,753,679,529,914,867,1322,1093,931,825,1092,470,914,173,1082,1093,344
MBTPS2,954,620,735,1060,659,625,558,537,896,783,535,692,685,364,249,192,221,292,430,356,323,371,502,179,239,54,338,380,141
NCK1,351,240,238,460,213,195,226,156,265,280,203,280,249,124,113,77,78,128,148,112,165,145,214,84,105,57,159,166,71
NCK2,486,253,292,364,172,219,320,151,467,323,244,207,306,107,69,46,99,98,143,79,78,91,81,53,97,49,180,175,84
NFE2L2,1864,1526,1184,2528,1257,1005,1084,1027,1940,1388,932,1347,1609,628,534,376,522,521,745,683,542,712,851,424,634,194,669,605,303
PARP16,478,360,303,628,272,308,316,262,486,410,287,397,304,178,159,128,136,186,211,161,163,211,207,103,149,42,209,163,80
PPP1R15B,1492,968,1015,1516,732,711,625,415,930,652,687,741,772,358,161,270,246,324,361,323,339,310,605,264,275,60,365,412,139
PTPN1,592,346,405,657,348,318,412,192,658,479,333,472,298,182,108,100,133,185,221,114,205,127,143,78,187,55,164,173,87
QRICH1,922,679,660,1140,565,555,576,302,932,855,551,695,575,282,110,161,129,165,212,199,231,192,247,195,222,51,216,247,106
UFL1,1181,848,1092,1425,750,753,546,581,1181,967,783,1055,1049,453,174,143,165,227,326,294,334,303,397,348,421,166,428,424,224
VAPB,2240,1321,1336,2005,977,1132,1070,847,2107,1901,1124,1378,1545,695,403,535,623,614,727,769,639,656,984,288,674,257,763,946,350
WFS1,524,307,346,415,264,376,417,252,543,438,429,468,296,148,112,56,124,186,211,116,257,104,49,45,161,118,194,190,108
