ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030968	endoplasmic reticulum unfolded protein response	19/20	125/18866	1.90637873484232e-41	1.64711122690377e-38	8.46833501161538e-39	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:0034620	cellular response to unfolded protein	19/20	146/18866	4.52218722182355e-40	1.95358487982777e-37	1.00440158295239e-37	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:0035967	cellular response to topologically incorrect protein	19/20	166/18866	6.03792080506003e-39	1.73892119185729e-36	8.9403599288959e-37	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:0006986	response to unfolded protein	19/20	183/18866	4.26373074456149e-38	9.20965840825282e-36	4.73498519527618e-36	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:0035966	response to topologically incorrect protein	19/20	205/18866	4.09827549763336e-37	7.08182005991045e-35	3.64099423158164e-35	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:1900101	regulation of endoplasmic reticulum unfolded protein response	13/20	28/18866	4.70723635743584e-34	6.207725168443e-32	3.19159359293731e-32	10018/51283/153090/2081/5770/23376/22926/1388/7466/666/4690/8440/84919	13
BP	GO:0034976	response to endoplasmic reticulum stress	19/20	294/18866	5.02940696517373e-34	6.207725168443e-32	3.19159359293731e-32	10018/51283/153090/2081/54956/5770/23376/9217/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	19
BP	GO:0006984	ER-nucleus signaling pathway	13/20	51/18866	5.94019417513569e-30	6.41540970914654e-28	3.29837097619376e-28	10018/5770/22926/1388/8720/51360/7466/666/1965/4690/8440/4780/84919	13
BP	GO:1905897	regulation of response to endoplasmic reticulum stress	14/20	92/18866	5.77607663700639e-29	5.54503357152614e-27	2.85088226996105e-27	10018/51283/153090/2081/5770/23376/22926/1388/7466/666/4690/8440/4780/84919	14
BP	GO:1900102	negative regulation of endoplasmic reticulum unfolded protein response	8/20	13/18866	4.06764931402002e-22	3.5144490073133e-20	1.8068926426489e-20	51283/5770/23376/1388/7466/4690/8440/84919	8
BP	GO:1905898	positive regulation of response to endoplasmic reticulum stress	9/20	38/18866	3.23802346428201e-20	2.54332024830878e-18	1.30760373390144e-18	10018/153090/2081/5770/22926/666/4690/8440/4780	9
BP	GO:0036498	IRE1-mediated unfolded protein response	9/20	67/18866	8.36468525735413e-18	6.02257338529498e-16	3.09640103386267e-16	10018/51283/153090/2081/54956/5770/23376/9217/7466	9
BP	GO:0036499	PERK-mediated unfolded protein response	7/20	21/18866	5.30157239965537e-17	3.27182753807303e-15	1.6821530471087e-15	5770/666/1965/4690/8440/4780/84919	7
BP	GO:0140467	integrated stress response signaling	7/20	21/18866	5.30157239965537e-17	3.27182753807303e-15	1.6821530471087e-15	5770/666/1965/4690/8440/4780/84919	7
BP	GO:1903573	negative regulation of response to endoplasmic reticulum stress	8/20	51/18866	1.96968386765688e-16	1.13453790777036e-14	5.83302871685056e-15	51283/5770/23376/1388/7466/4690/8440/84919	8
BP	GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	6/20	13/18866	1.05819279741959e-15	5.71424110606576e-14	2.93787737178332e-14	10018/153090/2081/5770/22926/666	6
BP	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	8/20	63/18866	1.18987106048831e-15	6.04734468389351e-14	3.10913676486728e-14	10018/153090/2081/5770/7466/666/4690/8440	8
BP	GO:0036500	ATF6-mediated unfolded protein response	5/20	10/18866	1.95621656373349e-13	8.89563742666179e-12	4.57353678612485e-12	22926/1388/8720/51360/7466	5
BP	GO:1903897	regulation of PERK-mediated unfolded protein response	5/20	10/18866	1.95621656373349e-13	8.89563742666179e-12	4.57353678612485e-12	5770/666/4690/8440/84919	5
BP	GO:1902235	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	6/20	32/18866	5.52094049889037e-13	2.38504629552064e-11	1.22622994238512e-11	10018/5770/7466/666/4690/8440	6
BP	GO:1903894	regulation of IRE1-mediated unfolded protein response	5/20	14/18866	1.54998887590971e-12	6.37709708945708e-11	3.27867321119747e-11	10018/51283/153090/5770/23376	5
BP	GO:0097193	intrinsic apoptotic signaling pathway	9/20	290/18866	6.13164781001813e-12	2.40806532175258e-10	1.23806477312328e-10	10018/153090/2081/5770/7466/666/4690/8440/4780	9
BP	GO:1902237	positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	4/20	10/18866	1.92032239930305e-10	7.21373283912104e-09	3.70881488561048e-09	10018/666/4690/8440	4
BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	7/20	166/18866	2.53184132895359e-10	9.11462878423293e-09	4.6861273720106e-09	10018/5770/7466/666/4690/8440/4780	7
BP	GO:0043558	regulation of translational initiation in response to stress	4/20	14/18866	9.12871226206775e-10	3.15488295777062e-08	1.62202803140741e-08	1965/4690/8440/84919	4
BP	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	6/20	109/18866	1.17461025206291e-09	3.90332022223983e-08	2.00682399340303e-08	22926/1388/51360/4690/8440/4780	6
BP	GO:0043620	regulation of DNA-templated transcription in response to stress	6/20	115/18866	1.62585491690849e-09	5.20273573410718e-08	2.67489580871495e-08	22926/1388/51360/4690/8440/4780	6
BP	GO:0043555	regulation of translation in response to stress	4/20	20/18866	4.40047911364441e-09	1.35786212649599e-07	6.9812112254058e-08	1965/4690/8440/84919	4
BP	GO:2001233	regulation of apoptotic signaling pathway	8/20	413/18866	4.93299164744827e-09	1.46969130461907e-07	7.55616143456686e-08	10018/153090/5770/7466/666/4690/8440/4780	8
BP	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	4/20	24/18866	9.62490375892481e-09	2.77197228257034e-07	1.4251611881636e-07	22926/1388/51360/4780	4
BP	GO:1904019	epithelial cell apoptotic process	5/20	117/18866	1.21144974136609e-07	3.18574629811036e-06	1.6378958793891e-06	153090/7466/666/1965/4780	5
BP	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	3/20	10/18866	1.21677809997271e-07	3.18574629811036e-06	1.6378958793891e-06	4690/8440/84919	3
BP	GO:0036490	regulation of translation in response to endoplasmic reticulum stress	3/20	10/18866	1.21677809997271e-07	3.18574629811036e-06	1.6378958793891e-06	4690/8440/84919	3
BP	GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	3/20	11/18866	1.67193903690999e-07	4.24869214085363e-06	2.18439093986383e-06	22926/1388/51360	3
BP	GO:0006983	ER overload response	3/20	12/18866	2.22774527180361e-07	5.49934832810949e-06	2.82739399910113e-06	10018/7466/84919	3
BP	GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	4/20	62/18866	4.92413841192002e-07	1.18179321886081e-05	6.07598365447441e-06	10018/666/4690/8440	4
BP	GO:2001235	positive regulation of apoptotic signaling pathway	5/20	183/18866	1.12003609631382e-06	2.61543564112199e-05	1.34468060496282e-05	10018/153090/666/4690/8440	5
BP	GO:0006446	regulation of translational initiation	4/20	79/18866	1.31103530783975e-06	2.98088027887774e-05	1.53256758977389e-05	1965/4690/8440/84919	4
BP	GO:1904035	regulation of epithelial cell apoptotic process	4/20	94/18866	2.63390717656723e-06	5.83511743731818e-05	3.00002382864068e-05	7466/666/1965/4780	4
BP	GO:0048010	vascular endothelial growth factor receptor signaling pathway	4/20	98/18866	3.11151671544297e-06	6.72087610535681e-05	3.45542119451824e-05	153090/5770/4690/8440	4
BP	GO:0007257	activation of JUN kinase activity	3/20	40/18866	9.81698460928704e-06	0.000206874992742049	0.000106361168295742	153090/2081/5770	3
BP	GO:0031331	positive regulation of cellular catabolic process	5/20	390/18866	4.41584162320812e-05	0.000890844529166253	0.000458012172646392	10018/153090/5770/23376/4780	5
BP	GO:0006413	translational initiation	4/20	192/18866	4.43360124469316e-05	0.000890844529166253	0.000458012172646392	1965/4690/8440/84919	4
BP	GO:0097050	type B pancreatic cell apoptotic process	2/20	10/18866	4.78023146260502e-05	0.000938663632656986	0.000482597530435244	7466/1965	2
BP	GO:0043507	positive regulation of JUN kinase activity	3/20	74/18866	6.29469220846337e-05	0.00120858090402497	0.000621370786426092	153090/2081/5770	3
BP	GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	2/20	12/18866	7.002092150512e-05	0.00131517556913964	0.000676174573802303	4690/8440	2
BP	GO:0001933	negative regulation of protein phosphorylation	5/20	444/18866	8.17064359521472e-05	0.00150200767367351	0.000772231040801928	153090/5770/4690/8440/84919	5
BP	GO:0009896	positive regulation of catabolic process	5/20	454/18866	9.07664612265444e-05	0.0016337963020778	0.000839987864859687	10018/153090/5770/23376/4780	5
BP	GO:2001234	negative regulation of apoptotic signaling pathway	4/20	233/18866	9.40296096124606e-05	0.0016579914837789	0.000852427395412639	5770/7466/666/4780	4
BP	GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway	2/20	14/18866	9.64212588445086e-05	0.00166615935283311	0.000856626762787003	153090/5770	2
BP	GO:0043506	regulation of JUN kinase activity	3/20	89/18866	0.000109163057571246	0.00184935062238346	0.000950811357999293	153090/2081/5770	3
BP	GO:0071216	cellular response to biotic stimulus	4/20	246/18866	0.000115966346229631	0.00192682544504617	0.000990643686415064	10018/153090/7466/84919	4
BP	GO:0010498	proteasomal protein catabolic process	5/20	483/18866	0.000121481589930508	0.00196267699536027	0.00100907613552879	51283/153090/23376/7466/4780	5
BP	GO:0042326	negative regulation of phosphorylation	5/20	484/18866	0.000122667312210017	0.00196267699536027	0.00100907613552879	153090/5770/4690/8440/84919	5
BP	GO:0031334	positive regulation of protein-containing complex assembly	4/20	257/18866	0.000137254506733842	0.00215614352396436	0.00110854357591735	10018/153090/4690/8440	4
BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	3/20	98/18866	0.000145315092971768	0.00224200429156442	0.00115268739161816	5770/7466/4780	3
BP	GO:0031293	membrane protein intracellular domain proteolysis	2/20	18/18866	0.000161702973295658	0.00245107664784998	0.00126017829604373	8720/51360	2
BP	GO:0070262	peptidyl-serine dephosphorylation	2/20	20/18866	0.000200552383198066	0.00293690269632423	0.00150995728295422	4690/84919	2
BP	GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	2/20	20/18866	0.000200552383198066	0.00293690269632423	0.00150995728295422	5770/7466	2
BP	GO:1901214	regulation of neuron death	4/20	321/18866	0.000321295041269758	0.00462664859428451	0.00237871065641821	10018/7466/666/1965	4
BP	GO:0046330	positive regulation of JNK cascade	3/20	138/18866	0.000398509637367122	0.00564446437188841	0.00290200288125842	153090/2081/5770	3
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	4/20	345/18866	0.000422298003629076	0.00582700707103118	0.00299585402531087	153090/2081/54956/5770	4
BP	GO:0019048	modulation by virus of host process	2/20	29/18866	0.00042610363800835	0.00582700707103118	0.00299585402531087	10018/9217	2
BP	GO:0010506	regulation of autophagy	4/20	347/18866	0.000431630153409717	0.00582700707103118	0.00299585402531087	10018/2081/23376/666	4
BP	GO:0033137	negative regulation of peptidyl-serine phosphorylation	2/20	30/18866	0.000456249507027315	0.00606460883187078	0.00311801282535267	4690/8440	2
BP	GO:0070997	neuron death	4/20	360/18866	0.000495934790757757	0.00649223726082882	0.00333787052152749	10018/7466/666/1965	4
BP	GO:0045862	positive regulation of proteolysis	4/20	370/18866	0.000549863142348339	0.00702301827728565	0.00361076232092415	10018/153090/666/4780	4
BP	GO:0046627	negative regulation of insulin receptor signaling pathway	2/20	33/18866	0.000552737549601186	0.00702301827728565	0.00361076232092415	5770/4690	2
BP	GO:0000187	activation of MAPK activity	3/20	156/18866	0.000570156801383223	0.00713935473036383	0.00367057467862273	153090/2081/5770	3
BP	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	2/20	35/18866	0.000622085384640325	0.0075701658074541	0.003892068677809	153090/5770	2
BP	GO:1900077	negative regulation of cellular response to insulin stimulus	2/20	35/18866	0.000622085384640325	0.0075701658074541	0.003892068677809	5770/4690	2
BP	GO:0034250	positive regulation of cellular amide metabolic process	3/20	167/18866	0.000695180413110945	0.00834216495733134	0.00428897857211724	4690/8440/4780	3
BP	GO:1901653	cellular response to peptide	4/20	398/18866	0.00072306597424768	0.00845109336161507	0.00434498221077188	10018/5770/4690/4780	4
BP	GO:0032874	positive regulation of stress-activated MAPK cascade	3/20	170/18866	0.000732071541006025	0.00845109336161507	0.00434498221077188	153090/2081/5770	3
BP	GO:0044003	modulation by symbiont of host process	2/20	38/18866	0.000733601854306864	0.00845109336161507	0.00434498221077188	10018/9217	2
BP	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	3/20	172/18866	0.000757347443814425	0.00860984462441662	0.00442660140290426	153090/2081/5770	3
BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	3/20	183/18866	0.000906347454270149	0.0100699466823807	0.00517728740249105	153090/23376/7466	3
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	4/20	424/18866	0.000915803823151811	0.0100699466823807	0.00517728740249105	51283/23376/7466/4780	4
BP	GO:0046328	regulation of JNK cascade	3/20	184/18866	0.00092074743970842	0.0100699466823807	0.00517728740249105	153090/2081/5770	3
BP	GO:0061136	regulation of proteasomal protein catabolic process	3/20	193/18866	0.00105694201857531	0.0114149738006133	0.00586880962945763	153090/23376/4780	3
BP	GO:0043254	regulation of protein-containing complex assembly	4/20	449/18866	0.00113305806398877	0.0120374088678596	0.00618882376003504	10018/153090/4690/8440	4
BP	GO:0006417	regulation of translation	4/20	450/18866	0.00114243926755149	0.0120374088678596	0.00618882376003504	1965/4690/8440/84919	4
BP	GO:1904036	negative regulation of epithelial cell apoptotic process	2/20	48/18866	0.00116964787311508	0.0121756115948365	0.00625987828097102	7466/4780	2
BP	GO:0051090	regulation of DNA-binding transcription factor activity	4/20	455/18866	0.00119017018269065	0.0122417504505324	0.00629388241974254	153090/23376/51360/7466	4
BP	GO:0045540	regulation of cholesterol biosynthetic process	2/20	50/18866	0.00126861676901226	0.0127451731212394	0.00655270840297641	8720/51360	2
BP	GO:0106118	regulation of sterol biosynthetic process	2/20	50/18866	0.00126861676901226	0.0127451731212394	0.00655270840297641	8720/51360	2
BP	GO:0007254	JNK cascade	3/20	213/18866	0.00140374692853477	0.0139406591523453	0.00716734668894945	153090/2081/5770	3
BP	GO:0043523	regulation of neuron apoptotic process	3/20	214/18866	0.0014227439107079	0.0139687583960412	0.00718179342486525	10018/7466/666	3
BP	GO:0050769	positive regulation of neurogenesis	4/20	485/18866	0.00150654877646202	0.0146253723917212	0.00751938005519777	153090/23376/4690/4780	4
BP	GO:0097345	mitochondrial outer membrane permeabilization	2/20	55/18866	0.0015329988130918	0.0147167886056813	0.00756638010672211	10018/666	2
BP	GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	3/20	225/18866	0.00164250078679653	0.0155947327449692	0.00801775976897784	153090/23376/4780	3
BP	GO:0097191	extrinsic apoptotic signaling pathway	3/20	230/18866	0.00174904691057688	0.0164258318558525	0.00844505487715612	10018/153090/666	3
