sample	group
GSM2385721	disease
GSM2385728	disease
GSM2385729	disease
GSM2385731	disease
GSM2385732	disease
GSM2385735	disease
GSM2385736	disease
GSM2385737	disease
GSM2385739	disease
GSM2385741	disease
GSM2385742	disease
GSM2385743	disease
GSM2385748	disease
GSM2385750	disease
GSM2385751	disease
GSM2385752	disease
GSM2385753	disease
GSM2385754	disease
GSM2385756	disease
GSM2385757	normal
GSM2385758	normal
GSM2385759	normal
GSM2385760	normal
GSM2385761	normal
GSM2385762	normal
GSM2385763	normal
GSM2385764	normal
GSM2385765	normal
GSM2385766	normal
GSM2385767	normal
GSM2385768	normal
GSM2385769	normal
GSM2385770	normal
GSM2385771	normal
GSM2385772	normal
GSM2385774	normal
GSM2385775	normal
GSM2385776	normal
GSM2385778	normal
GSM2385779	normal
GSM2385780	normal
GSM2385781	normal
GSM2385782	normal
